Birth frame,Birth ID,End frame,End ID,End of Movie,Died1,FUCCI_ON_FRAME,Questionable1,Questionable2,Notes,Birthtimeh,Lifetimeh,EOM,died,G1_time,S_G2_M_time,Match
38,B,454,,TRUE,,,,,,9.8,107.5,TRUE,FALSE,107.5,0,
38,C,288,A,,,230,,,,9.8,64.6,FALSE,FALSE,49.6,15,
38,C,298,B,,,238,,,,9.8,67.2,FALSE,FALSE,51.7,15.5,
38,D,454,,TRUE,,,,,,9.8,107.5,TRUE,FALSE,107.5,0,
38,D,454,,TRUE,,,,,,9.8,107.5,TRUE,FALSE,107.5,0,
38,E,378,A,,,314,,,,9.8,87.8,FALSE,FALSE,71.3,16.5,
38,E,448,A,,,387,,,,9.8,105.9,FALSE,FALSE,90.2,15.8,
38,F,348,B,,,284,,,,9.8,80.1,FALSE,FALSE,63.6,16.5,
38,F,454,,TRUE,,,,,,9.8,107.5,TRUE,FALSE,107.5,0,
38,G,348,C,,,290,,,,9.8,80.1,FALSE,FALSE,65.1,15,
38,G,454,,TRUE,,346,,,FUCCI still on at the end of the movie; the cell has not divided yet ,9.8,107.5,TRUE,FALSE,79.6,27.9,
38,H,347,A,,,292,,,,9.8,79.8,FALSE,FALSE,65.6,14.2,
38,H,454,,TRUE,,,,,,9.8,107.5,TRUE,FALSE,107.5,0,
38,I,331,B,,,282,,,,9.8,75.7,FALSE,FALSE,63,12.7,
38,I,454,,TRUE,,440,,,FUCCI still on at the end of the movie; the cell has not divided yet ,9.8,107.5,TRUE,FALSE,103.9,3.6,
38,J,374,A,,,309,TRUE,TRUE,FUCCI could have come on earlier; the cell was partially out of the focal plane,9.8,86.8,FALSE,FALSE,70,16.8,
38,J,362,A,,,314,TRUE,TRUE,FUCCI could have come on earlier; the cell was partially out of the focal plane,9.8,83.7,FALSE,FALSE,71.3,12.4,
39,A,352,A,,,300,,,,10.1,80.9,FALSE,FALSE,67.4,13.4,
39,A,392,B,,,333,,,,10.1,91.2,FALSE,FALSE,76,15.2,
39,B,454,,TRUE,,427,,,FUCCI still on at the end of the movie; the cell has not divided yet ,10.1,107.2,TRUE,FALSE,100.2,7,
39,B,454,,TRUE,,428,,,FUCCI still on at the end of the movie; the cell has not divided yet ,10.1,107.2,TRUE,FALSE,100.5,6.7,
39,C,281,B,,,227,,,,10.1,62.5,FALSE,FALSE,48.6,14,
39,C,454,,TRUE,,,,,,10.1,107.2,TRUE,FALSE,107.2,0,
39,D,347,B,,,287,,,,10.1,79.6,FALSE,FALSE,64.1,15.5,
39,D,418,A,,,332,,,,10.1,97.9,FALSE,FALSE,75.7,22.2,
39,E,275,A,,,220,,,,10.1,61,FALSE,FALSE,46.8,14.2,
39,E,366,D,,,300,,,,10.1,84.5,FALSE,FALSE,67.4,17.1,
39,F,383,A,,,326,,,,10.1,88.9,FALSE,FALSE,74.1,14.7,
39,F,454,,TRUE,,,,,,10.1,107.2,TRUE,FALSE,107.2,0,
39,G,391,B,,,309,,,,10.1,90.9,FALSE,FALSE,69.8,21.2,
39,G,434,A,,,376,,,,10.1,102,FALSE,FALSE,87.1,15,
39,H,397,A,,,346,,,,10.1,92.5,FALSE,FALSE,79.3,13.2,
39,H,454,,TRUE,,,,,,10.1,107.2,TRUE,FALSE,107.2,0,
40,A,454,,TRUE,,,,,,10.3,107,TRUE,FALSE,107,0,
40,A,454,,TRUE,,,,,,10.3,107,TRUE,FALSE,107,0,
40,B,305,A,,,256,,,,10.3,68.5,FALSE,FALSE,55.8,12.7,
40,B,419,A,,,364,,,,10.3,97.9,FALSE,FALSE,83.7,14.2,
40,C,454,,TRUE,,392,,,FUCCI still on at the end of the movie; the cell has not divided yet ,10.3,107,TRUE,FALSE,90.9,16,
40,C,454,,TRUE,,,,,,10.3,107,TRUE,FALSE,107,0,
40,D,454,,TRUE,,,,,,10.3,107,TRUE,FALSE,107,0,
40,D,454,,TRUE,,,,,,10.3,107,TRUE,FALSE,107,0,
40,E,299,B,,,252,,,,10.3,66.9,FALSE,FALSE,54.8,12.1,
40,E,416,A,,,362,,,,10.3,97.1,FALSE,FALSE,83.2,14,
41,A,425,A,,,364,TRUE,TRUE,"FUCCI may have come on earlier, the cell was partially out of the focal plane",10.6,99.2,FALSE,FALSE,83.4,15.8,
41,A,454,,TRUE,,,,,,10.6,106.7,TRUE,FALSE,106.7,0,
41,B,325,A,,,267,,,,10.6,73.4,FALSE,FALSE,58.4,15,
41,B,454,,TRUE,,,,,,10.6,106.7,TRUE,FALSE,106.7,0,
41,C,435,A,,,367,TRUE,TRUE,"FUCCI may have come on earlier, the cell was partially out of the focal plane",10.6,101.8,FALSE,FALSE,84.2,17.6,
41,C,454,,TRUE,,,,,,10.6,106.7,TRUE,FALSE,106.7,0,
41,D,454,,TRUE,,450,,,FUCCI still on at the end of the movie; the cell has not divided yet ,10.6,106.7,TRUE,FALSE,105.7,1,
41,D,454,,TRUE,,,,,,10.6,106.7,TRUE,FALSE,106.7,0,
41,E,454,,TRUE,,,,,,10.6,106.7,TRUE,FALSE,106.7,0,
41,E,454,,TRUE,,,,,,10.6,106.7,TRUE,FALSE,106.7,0,
42,A,354,A,,,304,,,,10.9,80.6,FALSE,FALSE,67.7,12.9,
42,A,454,,TRUE,,416,,,FUCCI still on at the end of the movie; the cell has not divided yet ,10.9,106.4,TRUE,FALSE,96.6,9.8,
42,B,365,C,,,303,,,,10.9,83.4,FALSE,FALSE,67.4,16,
42,B,454,,TRUE,,,,,,10.9,106.4,TRUE,FALSE,106.4,0,
